id,Dien_tich,So_phong,Vi_tri,Noi_dung_mo_ta,Gia_ty_vnd
1,32.4,5,Quan_4,"Hẻm ô tô, sổ hồng chính chủ, nội thất đầy đủ, ở ngay.",6.07
2,190.6,7,Quan_1,"Biệt thự mini, nội thất cao cấp, hồ bơi riêng, an ninh 24/7, sổ hồng chính chủ.",84.97
3,55.2,7,Quan_12,"Mặt tiền kinh doanh, kết hợp ở trên cho thuê dưới, thu nhập ổn định, nội thất cao cấp.",8.11
4,269.7,6,Quan_11,"Nhà hẻm xe hơi thông thoáng, ô tô vào tận nhà, khu an ninh, sổ hồng chính chủ, nội thất cao cấp.",43.22
5,86.8,5,Quan_Binh_Thanh,"Hẻm ba gác, gần trục đường lớn, sổ hồng, thiết kế thoáng mát.",12.92
6,89.8,6,Huyen_Binh_Chanh,"Nhà trong hẻm, yên tĩnh, phù hợp ở gia đình, sổ hồng, nở hậu.",4.87
7,141.7,8,Quan_Binh_Tan,"Bán gấp nhà mặt tiền, hướng Đông Nam đón gió, nội thất hoàn thiện, sổ hồng chính chủ, nội thất cao cấp.",17.03
8,175.3,2,Quan_5,"Bán nhà hẻm, sổ đỏ chính chủ, nhà mới sơn, ở ngay, nở hậu, sổ hồng chính chủ.",34.35
9,225.7,2,Quan_1,"Hẻm xe máy thông, gần chợ, trường học, giá tốt đầu tư, sổ hồng chính chủ, nội thất cao cấp.",72.44
10,174.8,2,Quan_6,"Hẻm ô tô, sổ hồng chính chủ, nội thất đầy đủ, ở ngay, nở hậu.",24.23
11,30.7,6,Quan_Binh_Tan,"Nhà hẻm nhỏ, tiện đi lại, sổ đỏ chính chủ, giá hợp lý, nở hậu, sổ hồng chính chủ.",3.74
12,219.6,3,Quan_5,"Nhà hẻm thông thoáng, an ninh tốt, gần chợ và bệnh viện, nở hậu, sổ hồng chính chủ.",43.33
13,158.2,4,Quan_Thu_Duc,"Bán nhà hẻm xe hơi 5m, nở hậu, sổ hồng chính chủ.",16.12
14,95.2,8,Quan_Thu_Duc,"Bán nhà hẻm xe hơi 4m, ô tô vào nhà, khu yên tĩnh.",9.37
15,146.3,1,Quan_Phu_Nhuan,"Nhà hẻm nhỏ, tiện đi lại, sổ đỏ chính chủ, giá hợp lý, sổ hồng chính chủ.",22.84
16,161.5,2,Quan_10,"Nhà hẻm nhỏ, tiện đi lại, sổ đỏ chính chủ, giá hợp lý, nở hậu, sổ hồng chính chủ.",30.95
17,280.1,1,Quan_7,"Nhà mặt phố kinh doanh, vỉa hè rộng 3m, tiện kinh doanh và ở, sổ hồng chính chủ, nội thất cao cấp.",81.23
18,70.7,5,Quan_Binh_Tan,"Bán nhà hẻm xe hơi 4m, ô tô vào nhà, khu yên tĩnh, sổ đỏ, nội thất cao cấp.",7.6
19,276.1,2,Quan_3,"Hẻm ba gác, gần trục đường lớn, sổ hồng, thiết kế thoáng mát, nở hậu.",71.6
20,300.7,4,Quan_12,"Bán nhà hẻm xe hơi 4m, ô tô vào nhà, khu yên tĩnh, nở hậu, sổ hồng chính chủ.",34.33
21,46.6,4,Quan_4,"Hẻm xe hơi đẹp, sổ hồng riêng, gần trường học và chợ, nở hậu.",10.22
22,27.3,5,Quan_Thu_Duc,"Nhà hẻm xe hơi thông thoáng, ô tô vào tận nhà, khu an ninh, sổ đỏ.",3.69
23,227.8,5,Quan_7,"Nhà hẻm nhỏ, tiện đi lại, sổ đỏ chính chủ, giá hợp lý, sổ hồng chính chủ.",34.95
24,187.7,7,Quan_Go_Vap,"Bán nhà mặt tiền đường lớn, vị trí đắc địa kinh doanh sầm uất, nở hậu, nội thất cao cấp.",29.09
25,290.2,4,Quan_2,"Bán nhà hẻm, sổ đỏ chính chủ, nhà mới sơn, ở ngay, sổ hồng chính chủ.",63.12
26,285.0,1,Quan_6,"Mặt tiền kinh doanh, kết hợp ở trên cho thuê dưới, thu nhập ổn định, nội thất cao cấp.",49.78
27,137.8,1,Quan_4,"Nhà hẻm xe hơi thông thoáng, ô tô vào tận nhà, khu an ninh.",21.53
28,280.0,5,Quan_10,"Nhà trong hẻm, yên tĩnh, phù hợp ở gia đình, sổ hồng, nở hậu, sổ đỏ.",41.86
29,127.0,6,Quan_Phu_Nhuan,"Nhà hẻm nhỏ, tiện đi lại, sổ đỏ chính chủ, giá hợp lý, sổ hồng chính chủ.",23.12
30,132.4,2,Quan_7,"Bán nhà hẻm, sổ đỏ chính chủ, nhà mới sơn, ở ngay, nở hậu.",21.4
31,81.6,7,Quan_5,"Nhà hẻm nhỏ, tiện đi lại, sổ đỏ chính chủ, giá hợp lý, sổ hồng chính chủ.",15.75
32,162.2,8,Quan_12,"Nhà hẻm thông thoáng, an ninh tốt, gần chợ và bệnh viện.",14.29
33,223.5,4,Quan_8,"Bán nhà hẻm xe hơi 5m, nở hậu, sổ hồng chính chủ.",26.51
34,170.8,4,Quan_Tan_Binh,"Bán nhà mặt tiền đường lớn, vị trí đắc địa kinh doanh sầm uất, nội thất cao cấp.",37.27
35,39.8,4,Quan_Go_Vap,"Hẻm ô tô, sổ hồng chính chủ, nội thất đầy đủ, ở ngay.",5.69
36,150.9,8,Quan_Thu_Duc,"Bán nhà hẻm, sổ đỏ chính chủ, nhà mới sơn, ở ngay, nở hậu, sổ hồng chính chủ.",13.83
37,119.3,2,Quan_12,"Mặt tiền kinh doanh, kết hợp ở trên cho thuê dưới, thu nhập ổn định, sổ hồng chính chủ, nội thất cao cấp.",14.39
38,139.9,1,Quan_Phu_Nhuan,"Hẻm xe máy thông, gần chợ, trường học, giá tốt đầu tư, nở hậu, sổ hồng chính chủ.",27.75
39,289.9,8,Huyen_Hoc_Mon,"Nhà phố biệt lập, nội thất nhập khẩu, hầm xe 2 ô tô, nở hậu, sổ hồng chính chủ, nội thất cao cấp.",22.0
40,33.0,7,Huyen_Binh_Chanh,"Hẻm ba gác, gần trục đường lớn, sổ hồng, thiết kế thoáng mát.",2.12
41,107.1,7,Quan_Tan_Binh,"Hẻm xe hơi đẹp, sổ hồng riêng, gần trường học và chợ.",16.85
42,305.1,4,Quan_1,"Hẻm ba gác, gần trục đường lớn, sổ hồng, thiết kế thoáng mát, nội thất cao cấp.",103.4
43,254.4,3,Quan_4,"Bán nhà hẻm xe hơi 4m, ô tô vào nhà, khu yên tĩnh, sổ hồng chính chủ.",44.93
44,55.1,5,Quan_8,"Nhà trong hẻm, yên tĩnh, phù hợp ở gia đình, sổ hồng.",5.6
45,275.6,8,Quan_1,"Biệt thự nghỉ dưỡng, hồ bơi riêng, sân thượng view thoáng, sổ hồng, nội thất cao cấp.",117.44
46,263.4,8,Huyen_Hoc_Mon,"Nhà trong hẻm, yên tĩnh, phù hợp ở gia đình, sổ hồng, nở hậu.",11.72
47,170.8,6,Quan_1,"Nhà phố biệt lập, nội thất nhập khẩu, hầm xe 2 ô tô, sổ hồng chính chủ, nội thất cao cấp.",80.24
48,50.3,7,Quan_7,"Nhà hẻm nhỏ, tiện đi lại, sổ đỏ chính chủ, giá hợp lý.",8.55
49,133.9,6,Huyen_Nha_Be,"Nhà trong hẻm, yên tĩnh, phù hợp ở gia đình, sổ hồng.",6.92
50,81.5,8,Quan_6,"Nhà trong hẻm, yên tĩnh, phù hợp ở gia đình, sổ hồng.",7.65
51,62.3,1,Huyen_Binh_Chanh,"Nhà hẻm nhỏ, tiện đi lại, sổ đỏ chính chủ, giá hợp lý.",2.5
52,309.8,5,Quan_6,"Nhà hẻm nhỏ, tiện đi lại, sổ đỏ chính chủ, giá hợp lý, nở hậu, sổ hồng chính chủ.",31.51
53,250.5,4,Huyen_Binh_Chanh,"Bán nhà hẻm, sổ đỏ chính chủ, nhà mới sơn, ở ngay.",10.74
54,209.5,5,Quan_7,"Bán nhà mặt tiền đường lớn, vị trí đắc địa kinh doanh sầm uất, nở hậu, sổ hồng chính chủ, nội thất cao cấp.",61.09
55,46.0,4,Quan_Go_Vap,"Bán nhà hẻm, sổ đỏ chính chủ, nhà mới sơn, ở ngay.",4.02
56,46.1,3,Quan_5,"Nhà trong hẻm, yên tĩnh, phù hợp ở gia đình, sổ hồng.",8.79
57,154.1,1,Quan_Binh_Tan,"Nhà hẻm thông thoáng, an ninh tốt, gần chợ và bệnh viện, nở hậu, sổ hồng chính chủ.",13.01
58,195.0,3,Quan_10,"Hẻm xe máy thông, gần chợ, trường học, giá tốt đầu tư, sổ đỏ.",31.17
59,222.7,3,Quan_12,"Bán nhà hẻm, sổ đỏ chính chủ, nhà mới sơn, ở ngay, sổ hồng chính chủ.",15.22
60,280.1,1,Quan_Tan_Binh,"Hẻm xe máy thông, gần chợ, trường học, giá tốt đầu tư, nở hậu, sổ hồng chính chủ.",42.36
61,284.8,8,Quan_Go_Vap,"Biệt thự sân vườn rộng, thiết kế châu Âu sang trọng, sổ hồng lâu dài, nở hậu, nội thất cao cấp.",41.47
62,161.1,2,Quan_4,"Bán nhà hẻm xe hơi 4m, ô tô vào nhà, khu yên tĩnh, sổ đỏ.",27.54
63,81.2,3,Quan_Tan_Binh,"Bán nhà hẻm xe hơi 5m, nở hậu, sổ hồng chính chủ, sổ đỏ.",12.56
64,280.3,8,Quan_Binh_Tan,"Hẻm ba gác, gần trục đường lớn, sổ hồng, thiết kế thoáng mát.",23.04
65,37.9,8,Quan_Phu_Nhuan,"Hẻm ba gác, gần trục đường lớn, sổ hồng, thiết kế thoáng mát.",7.86
66,282.9,8,Quan_4,"Biệt thự nghỉ dưỡng, hồ bơi riêng, sân thượng view thoáng, sổ hồng, nở hậu, sổ đỏ, nội thất cao cấp.",68.01
67,216.7,6,Quan_Tan_Binh,"Bán nhà hẻm, sổ đỏ chính chủ, nhà mới sơn, ở ngay, sổ hồng chính chủ.",28.03
68,245.3,7,Quan_8,"Nhà hẻm nhỏ, tiện đi lại, sổ đỏ chính chủ, giá hợp lý, nở hậu, sổ hồng chính chủ.",21.77
69,146.6,3,Quan_Thu_Duc,"Bán gấp nhà mặt tiền, hướng Đông Nam đón gió, nội thất hoàn thiện, sổ hồng chính chủ, nội thất cao cấp.",20.73
70,100.3,1,Quan_Go_Vap,"Nhà trong hẻm, yên tĩnh, phù hợp ở gia đình, sổ hồng, nội thất cao cấp.",10.69
71,83.8,7,Quan_11,"Hẻm xe hơi rộng rãi, nở hậu, phong thủy tốt, gần tiện ích, sổ hồng chính chủ.",13.38
72,280.2,1,Huyen_Nha_Be,"Nhà trong hẻm, yên tĩnh, phù hợp ở gia đình, sổ hồng.",10.82
73,210.3,1,Quan_5,"Nhà trong hẻm, yên tĩnh, phù hợp ở gia đình, sổ hồng, nội thất cao cấp.",41.3
74,181.6,5,Quan_Binh_Thanh,"Nhà trong hẻm, yên tĩnh, phù hợp ở gia đình, sổ hồng.",27.65
75,278.7,7,Quan_8,"Hẻm xe hơi rộng rãi, nở hậu, phong thủy tốt, gần tiện ích, sổ đỏ.",29.96
76,57.0,4,Quan_Binh_Thanh,"Nhà hẻm thông thoáng, an ninh tốt, gần chợ và bệnh viện, sổ đỏ.",8.62
77,59.4,1,Quan_Phu_Nhuan,"Nhà hẻm xe hơi thông thoáng, ô tô vào tận nhà, khu an ninh, nở hậu, sổ hồng chính chủ.",13.66
78,244.0,3,Huyen_Nha_Be,"Nhà hẻm thông thoáng, an ninh tốt, gần chợ và bệnh viện.",11.27
79,54.3,6,Quan_Binh_Thanh,"Nhà hẻm nhỏ, tiện đi lại, sổ đỏ chính chủ, giá hợp lý, sổ hồng chính chủ.",8.39
80,311.5,1,Huyen_Hoc_Mon,"Hẻm ô tô, sổ hồng chính chủ, nội thất đầy đủ, ở ngay, nội thất cao cấp.",13.49
81,25.8,3,Huyen_Hoc_Mon,"Nhà trong hẻm, yên tĩnh, phù hợp ở gia đình, sổ hồng, sổ đỏ, nội thất cao cấp.",1.36
82,62.4,7,Quan_2,"Nhà hẻm nhỏ, tiện đi lại, sổ đỏ chính chủ, giá hợp lý, sổ hồng chính chủ.",15.21
83,114.0,1,Quan_Thu_Duc,"Mặt tiền kinh doanh, kết hợp ở trên cho thuê dưới, thu nhập ổn định, sổ hồng chính chủ, nội thất cao cấp.",14.5
84,44.4,5,Quan_5,"Bán nhà hẻm, sổ đỏ chính chủ, nhà mới sơn, ở ngay.",8.38
85,237.6,4,Huyen_Binh_Chanh,"Nhà hẻm thông thoáng, an ninh tốt, gần chợ và bệnh viện, sổ hồng chính chủ.",9.38
86,227.6,8,Quan_5,"Biệt thự nghỉ dưỡng, hồ bơi riêng, sân thượng view thoáng, sổ hồng, nở hậu, sổ đỏ, nội thất cao cấp.",63.28
87,146.2,7,Quan_4,"Hẻm ba gác, gần trục đường lớn, sổ hồng, thiết kế thoáng mát.",20.32
88,274.4,6,Quan_Binh_Thanh,"Villa cao cấp, sổ hồng lâu dài, vị trí trung tâm, đẳng cấp, nở hậu, nội thất cao cấp.",66.52
89,33.5,5,Quan_10,"Hẻm ô tô, sổ hồng chính chủ, nội thất đầy đủ, ở ngay, nở hậu.",7.95
90,88.5,7,Quan_Thu_Duc,"Hẻm ô tô, sổ hồng chính chủ, nội thất đầy đủ, ở ngay.",9.19
91,105.3,7,Quan_3,"Hẻm xe máy thông, gần chợ, trường học, giá tốt đầu tư, sổ hồng chính chủ, nội thất cao cấp.",27.51
92,141.6,1,Quan_8,"Nhà mặt tiền, thuận tiện buôn bán, nội thất cao cấp, sổ hồng, nở hậu.",21.38
93,232.6,6,Huyen_Binh_Chanh,"Biệt thự mini, nội thất cao cấp, hồ bơi riêng, an ninh 24/7, nở hậu, sổ đỏ.",16.7
94,144.5,6,Quan_4,"Mặt tiền đường rộng, ô tô vào tận nhà, sổ hồng chính chủ, nội thất cao cấp.",32.44
95,48.2,5,Quan_Thu_Duc,"Nhà hẻm xe hơi thông thoáng, ô tô vào tận nhà, khu an ninh, sổ đỏ.",5.64
96,94.7,3,Quan_5,"Hẻm xe hơi rộng rãi, nở hậu, phong thủy tốt, gần tiện ích, sổ hồng chính chủ, nội thất cao cấp.",25.64
97,214.7,6,Huyen_Nha_Be,"Hẻm xe hơi đẹp, sổ hồng riêng, gần trường học và chợ.",12.35
98,41.8,5,Quan_2,"Bán gấp nhà mặt tiền, hướng Đông Nam đón gió, nội thất hoàn thiện, nội thất cao cấp.",16.38
99,157.7,4,Quan_2,"Nhà trong hẻm, yên tĩnh, phù hợp ở gia đình, sổ hồng, nở hậu, nội thất cao cấp.",46.25
100,179.2,3,Quan_Thu_Duc,"Nhà hẻm nhỏ, tiện đi lại, sổ đỏ chính chủ, giá hợp lý, sổ hồng chính chủ.",14.11
101,108.8,3,Quan_Tan_Binh,"Nhà hẻm thông thoáng, an ninh tốt, gần chợ và bệnh viện, sổ hồng chính chủ.",13.67
102,136.1,6,Huyen_Binh_Chanh,"Nhà hẻm thông thoáng, an ninh tốt, gần chợ và bệnh viện.",5.89
