id,Dien_tich,So_phong,So_tang,Mat_tien_m,Huong_nha,Vi_tri,Noi_dung_mo_ta,Gia_ty_vnd
1,32.4,5,2,5.3,Nam,Quan_4,"Hẻm ô tô, sổ hồng chính chủ, nội thất đầy đủ, ở ngay.",6.07
2,190.6,7,3,5.5,Tây,Quan_1,"Biệt thự mini, nội thất cao cấp, hồ bơi riêng, an ninh 24/7, sổ hồng chính chủ.",84.97
3,55.2,7,3,4.5,Nam,Quan_12,"Mặt tiền kinh doanh, kết hợp ở trên cho thuê dưới, thu nhập ổn định, nội thất cao cấp.",8.11
4,269.7,6,2,5.5,Đông Nam,Quan_11,"Nhà hẻm xe hơi thông thoáng, ô tô vào tận nhà, khu an ninh, sổ hồng chính chủ, nội thất cao cấp.",43.22
5,86.8,5,2,3.8,Đông,Quan_Binh_Thanh,"Hẻm ba gác, gần trục đường lớn, sổ hồng, thiết kế thoáng mát.",12.92
6,89.8,6,3,6.0,Tây Bắc,Huyen_Binh_Chanh,"Nhà trong hẻm, yên tĩnh, phù hợp ở gia đình, sổ hồng, nở hậu.",4.87
7,141.7,8,2,5.4,Tây,Quan_Binh_Tan,"Bán gấp nhà mặt tiền, hướng Đông Nam đón gió, nội thất hoàn thiện, sổ hồng chính chủ, nội thất cao cấp.",17.03
8,175.3,2,4,4.8,Tây Nam,Quan_5,"Bán nhà hẻm, sổ đỏ chính chủ, nhà mới sơn, ở ngay, nở hậu, sổ hồng chính chủ.",34.35
9,225.7,2,5,10.5,Đông Bắc,Quan_1,"Hẻm xe máy thông, gần chợ, trường học, giá tốt đầu tư, sổ hồng chính chủ, nội thất cao cấp.",72.44
10,174.8,2,2,6.9,Bắc,Quan_6,"Hẻm ô tô, sổ hồng chính chủ, nội thất đầy đủ, ở ngay, nở hậu.",24.23
11,30.7,6,3,6.8,Đông,Quan_Binh_Tan,"Nhà hẻm nhỏ, tiện đi lại, sổ đỏ chính chủ, giá hợp lý, nở hậu, sổ hồng chính chủ.",3.74
12,219.6,3,2,5.9,Tây Bắc,Quan_5,"Nhà hẻm thông thoáng, an ninh tốt, gần chợ và bệnh viện, nở hậu, sổ hồng chính chủ.",43.33
13,158.2,4,3,5.4,Đông,Quan_Thu_Duc,"Bán nhà hẻm xe hơi 5m, nở hậu, sổ hồng chính chủ.",16.12
14,95.2,8,5,4.1,Đông Bắc,Quan_Thu_Duc,"Bán nhà hẻm xe hơi 4m, ô tô vào nhà, khu yên tĩnh.",9.37
15,146.3,1,1,5.4,Bắc,Quan_Phu_Nhuan,"Nhà hẻm nhỏ, tiện đi lại, sổ đỏ chính chủ, giá hợp lý, sổ hồng chính chủ.",22.84
16,161.5,2,1,3.9,Đông Bắc,Quan_10,"Nhà hẻm nhỏ, tiện đi lại, sổ đỏ chính chủ, giá hợp lý, nở hậu, sổ hồng chính chủ.",30.95
17,280.1,1,1,9.7,Nam,Quan_7,"Nhà mặt phố kinh doanh, vỉa hè rộng 3m, tiện kinh doanh và ở, sổ hồng chính chủ, nội thất cao cấp.",81.23
18,70.7,5,4,5.7,Tây,Quan_Binh_Tan,"Bán nhà hẻm xe hơi 4m, ô tô vào nhà, khu yên tĩnh, sổ đỏ, nội thất cao cấp.",7.6
19,276.1,2,3,3.6,Tây Nam,Quan_3,"Hẻm ba gác, gần trục đường lớn, sổ hồng, thiết kế thoáng mát, nở hậu.",71.6
20,300.7,4,4,10.1,Đông,Quan_12,"Bán nhà hẻm xe hơi 4m, ô tô vào nhà, khu yên tĩnh, nở hậu, sổ hồng chính chủ.",34.33
21,46.6,4,5,7.7,Đông Bắc,Quan_4,"Hẻm xe hơi đẹp, sổ hồng riêng, gần trường học và chợ, nở hậu.",10.22
22,27.3,5,3,8.3,Đông Bắc,Quan_Thu_Duc,"Nhà hẻm xe hơi thông thoáng, ô tô vào tận nhà, khu an ninh, sổ đỏ.",3.69
23,227.8,5,2,6.5,Nam,Quan_7,"Nhà hẻm nhỏ, tiện đi lại, sổ đỏ chính chủ, giá hợp lý, sổ hồng chính chủ.",34.95
24,187.7,7,3,3.0,Bắc,Quan_Go_Vap,"Bán nhà mặt tiền đường lớn, vị trí đắc địa kinh doanh sầm uất, nở hậu, nội thất cao cấp.",29.09
25,290.2,4,1,5.2,Nam,Quan_2,"Bán nhà hẻm, sổ đỏ chính chủ, nhà mới sơn, ở ngay, sổ hồng chính chủ.",63.12
26,285.0,1,3,8.5,Tây Nam,Quan_6,"Mặt tiền kinh doanh, kết hợp ở trên cho thuê dưới, thu nhập ổn định, nội thất cao cấp.",49.78
27,137.8,1,1,4.2,Đông,Quan_4,"Nhà hẻm xe hơi thông thoáng, ô tô vào tận nhà, khu an ninh.",21.53
28,280.0,5,5,4.2,Tây,Quan_10,"Nhà trong hẻm, yên tĩnh, phù hợp ở gia đình, sổ hồng, nở hậu, sổ đỏ.",41.86
29,127.0,6,2,11.4,Tây Bắc,Quan_Phu_Nhuan,"Nhà hẻm nhỏ, tiện đi lại, sổ đỏ chính chủ, giá hợp lý, sổ hồng chính chủ.",23.12
30,132.4,2,2,3.9,Tây Bắc,Quan_7,"Bán nhà hẻm, sổ đỏ chính chủ, nhà mới sơn, ở ngay, nở hậu.",21.4
31,81.6,7,2,5.6,Tây,Quan_5,"Nhà hẻm nhỏ, tiện đi lại, sổ đỏ chính chủ, giá hợp lý, sổ hồng chính chủ.",15.75
32,162.2,8,3,5.5,Bắc,Quan_12,"Nhà hẻm thông thoáng, an ninh tốt, gần chợ và bệnh viện.",14.29
33,223.5,4,2,5.5,Nam,Quan_8,"Bán nhà hẻm xe hơi 5m, nở hậu, sổ hồng chính chủ.",26.51
34,170.8,4,3,3.9,Đông Nam,Quan_Tan_Binh,"Bán nhà mặt tiền đường lớn, vị trí đắc địa kinh doanh sầm uất, nội thất cao cấp.",37.27
35,39.8,4,1,4.3,Tây,Quan_Go_Vap,"Hẻm ô tô, sổ hồng chính chủ, nội thất đầy đủ, ở ngay.",5.69
36,150.9,8,3,6.3,Đông Nam,Quan_Thu_Duc,"Bán nhà hẻm, sổ đỏ chính chủ, nhà mới sơn, ở ngay, nở hậu, sổ hồng chính chủ.",13.83
37,119.3,2,3,12.0,Nam,Quan_12,"Mặt tiền kinh doanh, kết hợp ở trên cho thuê dưới, thu nhập ổn định, sổ hồng chính chủ, nội thất cao cấp.",14.39
38,139.9,1,3,6.3,Nam,Quan_Phu_Nhuan,"Hẻm xe máy thông, gần chợ, trường học, giá tốt đầu tư, nở hậu, sổ hồng chính chủ.",27.75
39,289.9,8,5,8.5,Đông Nam,Huyen_Hoc_Mon,"Nhà phố biệt lập, nội thất nhập khẩu, hầm xe 2 ô tô, nở hậu, sổ hồng chính chủ, nội thất cao cấp.",22.0
40,33.0,7,3,5.6,Tây Bắc,Huyen_Binh_Chanh,"Hẻm ba gác, gần trục đường lớn, sổ hồng, thiết kế thoáng mát.",2.12
41,107.1,7,2,8.0,Bắc,Quan_Tan_Binh,"Hẻm xe hơi đẹp, sổ hồng riêng, gần trường học và chợ.",16.85
42,305.1,4,2,6.7,Tây Bắc,Quan_1,"Hẻm ba gác, gần trục đường lớn, sổ hồng, thiết kế thoáng mát, nội thất cao cấp.",103.4
43,254.4,3,3,6.3,Đông Nam,Quan_4,"Bán nhà hẻm xe hơi 4m, ô tô vào nhà, khu yên tĩnh, sổ hồng chính chủ.",44.93
44,55.1,5,1,8.4,Tây Bắc,Quan_8,"Nhà trong hẻm, yên tĩnh, phù hợp ở gia đình, sổ hồng.",5.6
45,275.6,8,3,7.6,Tây Bắc,Quan_1,"Biệt thự nghỉ dưỡng, hồ bơi riêng, sân thượng view thoáng, sổ hồng, nội thất cao cấp.",117.44
